"","GeneId","Descripcion","Ctrl0hr","Ctrl1hr","Encyst1hr","Ctrl4hr","Encyst4hr","Ctrl8hr","Encyst8hr"
"ACA1_109120","ACA1_109120","hypothetical protein",91.4,20.85,676.86,72.6,58.48,93.49,38.37
"ACA1_109470","ACA1_109470","thioredoxin",41.19,40.33,22.21,37.67,27.43,29.64,30.68
"ACA1_109720","ACA1_109720","calponin domain containing protein",142.02,150.33,159.97,140.27,121.65,156.39,110.25
"ACA1_109750","ACA1_109750","lightoid family protein",92.33,72.75,100.89,73.43,127.96,72.49,128.95
"ACA1_109780","ACA1_109780","ATPase, AAA domain containing protein",56.5,42.92,46.81,63.91,30.75,53.98,29.52
"ACA1_109790","ACA1_109790","glutamate5-semialdehyde dehydrogenase",113.04,165.75,63.99,141.6,27,136.81,24.98
"ACA1_109800","ACA1_109800","WD domain, Gbeta repeat containing protein",69.87,70.52,29.58,66.51,33.26,66.38,34.82
"ACA1_109810","ACA1_109810","ankyrin repeat-containing protein",71.66,61.73,112.86,67.4,104.73,67.3,88.34
"ACA1_110070","ACA1_110070","acetyltransferase, GNAT family",45.99,48.19,26.43,44.32,21.5,46.23,23.79
"ACA1_110090","ACA1_110090","DEAD/DEAH box helicase domain containing protein",74.87,78.52,4.57,81.4,3.23,84.24,4.25
"ACA1_110110","ACA1_110110","FAD binding domain containing protein",69.63,69.72,36.45,76.8,25.32,73.37,31.61
"ACA1_110260","ACA1_110260","hypothetical protein",95.82,103.45,10.94,87.4,11.42,88.19,16.84
"ACA1_110290","ACA1_110290","hypothetical protein",39.64,37.3,64.7,35.44,51.03,26.39,48.09
"ACA1_110300","ACA1_110300","RNA polymerase",42.76,48.55,1.04,45.98,3.45,44.88,5.71
"ACA1_110370","ACA1_110370","hypothetical protein",51.3,40.13,98.74,44.09,114.76,41.99,130.87
"ACA1_110390","ACA1_110390","Ras-related protein Rab-2-B",51.19,39.19,50.67,42.99,51.38,35.3,47.28
"ACA1_110480","ACA1_110480","NTPase",51.51,54.67,11.75,48.87,4.49,36.66,6.5
"ACA1_110860","ACA1_110860","SID1 transmembrane family, member 1, putative",62.34,33.28,26.11,39.64,126.96,41.21,135.56
"ACA1_110940","ACA1_110940","hypothetical protein",49.56,40.94,35.91,44.06,64.88,46.99,61.34
"ACA1_111090","ACA1_111090","Coiledcoil domain containing protein",57.81,49.84,44.25,48.3,67.01,45.91,66.5
"ACA1_111550","ACA1_111550","1,2alpha-mannosidase",60.43,47.31,46.51,55.64,78.09,54.21,93.16
"ACA1_111730","ACA1_111730","hypothetical protein",57.26,54.57,70.44,53.58,62.01,57.82,60.01
"ACA1_111890","ACA1_111890","EF hand domain containing protein",107.55,94.99,73.76,73.2,97.99,66.43,102.88
"ACA1_111900","ACA1_111900","global transcription factor, putative",72.16,32.42,17.95,89.14,24.48,75.22,32.14
"ACA1_111910","ACA1_111910","histone h3, putative",207.04,128.45,25.27,246.52,0.71,142.29,1.99
"ACA1_111920","ACA1_111920","hypothetical protein",83.28,66.21,84.04,70.88,107.86,60.22,113.53
"ACA1_111930","ACA1_111930","carbonsulfur lyase, putative",82.67,80.97,33.31,75.82,41.39,68.67,44.71
"ACA1_111940","ACA1_111940","hypothetical protein",60.85,88.36,43.16,62.27,40.11,69.22,38.28
"ACA1_111950","ACA1_111950","lipid transport family protein",189.03,193.42,250.61,208.23,282.56,232.94,371.74
"ACA1_111960","ACA1_111960","ornithine cyclodeaminase",52.35,38.29,8.31,50.47,15.6,55.25,18.36
"ACA1_112030","ACA1_112030","hypothetical protein",106.92,86.36,88.85,92.72,140.59,90.89,141.49
"ACA1_112050","ACA1_112050","variant sh3 domain containing protein",45.8,54.08,30.02,37.36,33.72,42.99,33.51
"ACA1_112080","ACA1_112080","hypothetical protein",58.69,31.52,24.52,56.79,51.07,64.4,54.94
"ACA1_112160","ACA1_112160","dual specificity protein kinase",67.96,70.22,58.87,74.3,63.17,77.51,69.17
"ACA1_112460","ACA1_112460","protective antigen 4D8, putative",89.84,91.91,148.71,92.09,117.07,94.78,126.4
"ACA1_112510","ACA1_112510","sphingosine kinase",52.8,43.76,39.17,54.12,47.8,56.87,53.75
"ACA1_112580","ACA1_112580","nuclear pore glycoprotein p62, putative",62.69,40.71,10.01,70.11,17.16,56.44,27.31
"ACA1_112820","ACA1_112820","peptidyltRNA hydrolase",73.81,70.28,82.22,69.25,102.94,67.7,121.81
"ACA1_112860","ACA1_112860","EF hand domain containing protein",76.24,91.12,271.78,67.8,427.69,73.2,385.75
"ACA1_112870","ACA1_112870","nicotinamide nmethyltransferase",42.34,48.95,1.82,53.24,3.76,46.67,4.69
"ACA1_112900","ACA1_112900","sodium/calcium exchanger protein",68.68,56.71,46.17,49.92,47.38,46.72,56.41
"ACA1_112910","ACA1_112910","tetratricopeptide repeat domain containing protein",111,104.63,148.03,116.28,128.17,108.56,142.07
"ACA1_112960","ACA1_112960","deoxyhypusine hydroxylase",208.9,213.49,152.33,206.73,137.38,187.99,168.45
"ACA1_113440","ACA1_113440","hypothetical protein",125.82,115.98,86.47,123.68,97.95,115.07,109.45
"ACA1_113490","ACA1_113490","hypothetical protein",92.88,81.8,102.32,93.53,83.06,93.76,74.14
"ACA1_113520","ACA1_113520","Oraov1 protein",88.86,88.15,95.55,77.05,139.77,77.53,170.41
"ACA1_113550","ACA1_113550","hypothetical protein",74.51,71.79,58.62,64.55,71.18,64.93,82.06
"ACA1_113570","ACA1_113570","hypothetical protein",68.05,54.33,108.48,55.06,72.41,55.47,76.09
"ACA1_113580","ACA1_113580","GTP binding protein",146.04,137.53,217.92,134.21,239.72,126.51,181.6
"ACA1_113660","ACA1_113660","hypothetical protein",79.68,85.82,56.75,81.12,61.58,84.6,57.42
"ACA1_113680","ACA1_113680","peptidase M20, putative",208.24,203.65,120.01,196.85,104.69,200.44,115.89
"ACA1_113710","ACA1_113710","SH3 domain containing protein",144.68,157.33,267.46,145.92,228.63,134.7,183.28
"ACA1_113780","ACA1_113780","COP9 signalosome subunit 6, putative",127.45,119.4,214.44,118.82,150.59,124.77,126.87
"ACA1_113820","ACA1_113820","ABC2 type transporter superfamily protein",159.98,157.22,62.49,159.86,109.81,206.35,140.98
"ACA1_113850","ACA1_113850","peptidemethionine (S)-S-oxide reductase",92.42,141.16,212.89,86.61,103.02,102.22,121.83
"ACA1_113860","ACA1_113860","acyloxyacyl hydrolase",129.79,120.36,33.49,123.92,105.33,138.87,84.56
"ACA1_113940","ACA1_113940","WASH complex subunit 7 family protein",43.87,36.18,14.75,38.55,28.68,43.4,23.48
"ACA1_113950","ACA1_113950","hypothetical protein",568.36,586.45,347.18,580.16,323.98,523.14,268.26
"ACA1_114150","ACA1_114150","Ergosterol biosynthesis ERG4/ERG24 family protein",66.05,58.62,39.51,77.04,24.8,78.84,28.06
"ACA1_114440","ACA1_114440","peptidase M28, putative",52.09,43.47,32.88,48.67,35.77,43.23,33.65
"ACA1_114450","ACA1_114450","SH3 domain containing protein",173.29,157.51,209.31,171.69,184.96,174.82,126.99
"ACA1_114500","ACA1_114500","MACRO domain containing protein 1, putative",55.72,50.94,158.12,53.05,122.67,62.86,64.49
"ACA1_114520","ACA1_114520","Hypothetical protein",94.36,82.9,68.06,106.58,64.14,117.97,61.38
"ACA1_114540","ACA1_114540","carrier superfamily protein",89.7,83.67,41.53,80.96,63.15,69.82,82.12
"ACA1_114580","ACA1_114580","hyaluronan / mrna binding family protein",846.8,800.89,241.4,924.64,232.17,844.23,173.15
"ACA1_114590","ACA1_114590","proteasome activator protein",79.87,86.4,55.13,85.51,48.59,82.43,57.26
"ACA1_114600","ACA1_114600","hypothetical protein",88.96,82.15,9.23,70.47,16.66,67.59,15.06
"ACA1_114630","ACA1_114630","Serine/threonineprotein kinase",55.75,58.45,32.5,51.97,34.47,47.41,34.97
"ACA1_114640","ACA1_114640","ACN9 family protein",92.67,104.14,83.33,77.96,102.84,77.29,112.53
"ACA1_114650","ACA1_114650","hypothetical protein",121.67,159.82,413.4,130.86,584.93,140.63,530.94
"ACA1_114770","ACA1_114770","protein kinase",49.75,42.96,1.08,46.83,4.98,43.45,10.3
"ACA1_114880","ACA1_114880","LIM domain containing protein",1697.58,1724.56,3523.79,1308.9,3572.45,1376.01,3040.73
"ACA1_114890","ACA1_114890","hypothetical protein",40.18,38.27,34.94,38.11,42.88,35.25,58.61
"ACA1_115160","ACA1_115160","HMG (high mobility group) box domain containing protein",120.32,56.44,12.81,124.5,12.68,76.5,25.68
"ACA1_115180","ACA1_115180","cwf18 pre-mRNA splicing factor protein",100.4,85.55,50.21,88.92,65.81,74.13,71.69
"ACA1_115350","ACA1_115350","hypothetical protein",70.37,66.39,145.9,58.08,161.64,57.1,137.01
"ACA1_115360","ACA1_115360","CUE domain containing protein",47.8,42.85,95.02,38.73,107.37,45.84,137.3
"ACA1_115370","ACA1_115370","hypothetical protein",75.54,62.19,77.51,59.17,78.06,56.47,84.26
"ACA1_115650","ACA1_115650","hypothetical protein",44.04,33.55,47.48,26.91,137.23,30.04,328.09
"ACA1_115670","ACA1_115670","aconitate hydratase, mitochondrial",39.52,32.14,4.47,41.44,1.18,37.63,0.82
"ACA1_115740","ACA1_115740","UDPglucose 4-epimerase",80.46,75.47,55.97,79.99,72.96,77.26,75.57
"ACA1_115840","ACA1_115840","Coiledcoil domain containing protein",128.22,148.8,3.98,93.66,9.96,87.61,14.27
"ACA1_116020","ACA1_116020","GTPaseactivating protein gacA",67.85,74.83,105.22,57.11,89.49,58.54,77.75
"ACA1_116130","ACA1_116130","Dipeptidylpeptidase",93.88,88.47,63.72,81.46,88.24,76.91,100.1
"ACA1_116140","ACA1_116140","dipeptidyl-peptidase family protein",44.4,43.06,27.88,43.29,35.9,44.38,44
"ACA1_116220","ACA1_116220","steroid isomerase",108.1,85.02,33.13,109.01,63.2,117.39,45.5
"ACA1_116250","ACA1_116250","DIL domain containing protein",43.63,38.6,63.19,37.46,65.45,38.35,75.72
"ACA1_116420","ACA1_116420","phosphoglycerate mutase family domain containing protein",50.97,49.06,21.7,53.87,32.3,52.36,30.44
"ACA1_116430","ACA1_116430","thymidine kinase",51.73,16.28,0.61,59.64,0.33,40.97,0.37
"ACA1_116490","ACA1_116490","hypothetical protein",40.15,42.8,37.61,40.44,31.35,39.43,28.77
"ACA1_116580","ACA1_116580","carboxypeptidase Ylike protein",87.09,97.73,15.65,104.11,9.97,98.23,8.38
"ACA1_116650","ACA1_116650","transcription factor pcc1 protein",97.42,83.52,79.77,81.02,71.98,66.7,68.49
"ACA1_116680","ACA1_116680","hypothetical protein",213.85,204.44,217.7,240.82,128.75,237.43,104.77
"ACA1_116700","ACA1_116700","hypothetical protein",92.65,45.14,43.18,25.22,593.17,36.66,2089.21
"ACA1_116720","ACA1_116720","DnaJ domain containing protein",120.71,90.54,23.41,123.94,56.23,101.35,74.33
"ACA1_116740","ACA1_116740","Omethyltransferase",41.06,37.79,53.82,40.54,33.04,44.32,36.05
"ACA1_116750","ACA1_116750","hypothetical protein",40.26,30.27,66.01,41.95,54.77,39.19,55.26
"ACA1_116760","ACA1_116760","hypothetical protein",55.25,49.26,51.02,51.09,52.16,77.49,58.46
"ACA1_116890","ACA1_116890","DNA-directed RNA polymerase II family protein",130.6,118.86,213.52,109.38,255.26,97.41,289.87
"ACA1_116920","ACA1_116920","hypothetical protein",53.03,53.25,142.42,44.27,151.99,46.07,177.23
"ACA1_116930","ACA1_116930","pyrroline5-carboxylate reductase",619.3,649.71,121.24,611.19,44.08,602.31,37.34
"ACA1_116940","ACA1_116940","protein phosphatase 2C domain containing protein",122.35,107.51,83.97,105.51,78.48,105.16,80.95
"ACA1_116960","ACA1_116960","hypothetical protein",110.13,103.71,38.82,101.85,26.86,113.37,24.23
"ACA1_116970","ACA1_116970","hypothetical protein",54.03,42.37,24.64,41.29,40.02,38.25,41.67
"ACA1_116990","ACA1_116990","carboxypeptidase",122.85,114.95,106.54,118.29,75.11,137.73,60.26
"ACA1_117010","ACA1_117010","hypothetical protein",40.11,20.11,26.65,16.15,8.2,24.79,7.27
"ACA1_117020","ACA1_117020","serine carboxypeptidase",129.56,138.36,38.71,123.42,26.44,127.21,21.71
"ACA1_117040","ACA1_117040","Rasrelated GTP-binding kinase",80.44,77.76,100.72,73.08,83.24,72.98,83.54
"ACA1_117080","ACA1_117080","Dcysteine desulfhydrase",125.62,119.7,103.62,120.41,41.92,120.49,38.97
"ACA1_117130","ACA1_117130","eukaryotic initiation factor 4e, putative",171.31,174.28,59.97,155.75,55.66,134.66,62.07
"ACA1_117150","ACA1_117150","ribosomal protein L34, putative",302.63,291.96,84.5,308.6,94.52,291.92,95.86
"ACA1_117180","ACA1_117180","serine/threonine kinase",69.4,40.04,29.62,29.09,12.66,65.81,12.68
"ACA1_117250","ACA1_117250","ubiquinone biosynthesis Omethyltransferase",53.49,48.56,24.13,54,24.73,50.82,25.98
"ACA1_117300","ACA1_117300","hypothetical protein",75.62,67.92,36.67,66.55,42.3,53.23,57.39
"ACA1_117310","ACA1_117310","hypothetical protein",50.81,15.41,2.04,54.22,0.43,33.76,1.75
"ACA1_117330","ACA1_117330","hydroxylamine reductase",41.22,44.52,26.47,172.5,21.1,259.45,22.75
"ACA1_118740","ACA1_118740","betalactamase",53.89,47.81,37.65,45.53,97.36,43.75,84.88
"ACA1_119150","ACA1_119150","Interferoninducible protein Gig2, putative",64.9,57.23,5.78,69.84,10.03,76.01,10.96
"ACA1_119160","ACA1_119160","ribosomal protein L31e, putative",5679.9,5861.9,5112.5,5383.24,4142.71,5278.15,3889.46
"ACA1_119180","ACA1_119180","ribonucleosidediphosphate reductase, alpha subunit",81.19,20.85,1.57,94.06,1.53,87.63,2.89
"ACA1_119220","ACA1_119220","peptidylprolyl cis-trans isomerase, cyclophilin-type family protein",94.54,92.42,83.51,68.15,62.47,68.9,55.39
"ACA1_119230","ACA1_119230","Armadillo/betacatenin-like repeat domain containing protein",77.63,89.94,228.4,85.47,217,100.62,295.63
"ACA1_119240","ACA1_119240","glutamicoxaloacetic transaminase, mitochondrial, putative",240.39,221.71,90.98,249.13,85.43,308.1,139.04
"ACA1_119270","ACA1_119270","Raclike protein",502.47,455.99,683.63,458.87,657.19,471.77,552.14
"ACA1_119290","ACA1_119290","hypothetical protein",100.78,55.45,10.02,93.51,16.48,72.15,21.73
"ACA1_119410","ACA1_119410","COP9, putative",175.1,161.73,385.2,152.71,397.61,149.3,352.36
"ACA1_119430","ACA1_119430","RNA recognition motif domain containing protein",105.57,93.22,7.63,101.24,14.94,100.51,18.14
"ACA1_119490","ACA1_119490","zinc finger domain containing protein",39.56,46.02,10.27,35.21,15.77,34.61,20.58
"ACA1_119840","ACA1_119840","ubiquitinlike protein",68.17,65.98,71.06,62.94,75.46,58.58,70.61
"ACA1_120250","ACA1_120250","doublecortin protein",96,90,173.2,84.01,146.77,94.13,143.78
"ACA1_121530","ACA1_121530","tyrosine phosphatase",52.91,48.97,106.67,46.7,137.15,46.53,141.59
"ACA1_121760","ACA1_121760","B-box zinc finger family protein",125.99,116.27,205.77,84.32,228.3,114.58,235.2
"ACA1_122700","ACA1_122700","amine oxidase, flavincontaining superfamily protein",211.64,248.49,86.75,306.68,75.63,358.79,33.89
"ACA1_123350","ACA1_123350","hypothetical protein",103.72,124.83,111.68,135.55,125.04,134.53,139.94
"ACA1_123750","ACA1_123750","hypothetical protein",64.82,64.29,68.15,78.89,54.72,81.14,41.79
"ACA1_123770","ACA1_123770","hypothetical protein",548.13,605.4,355.25,679.4,642.95,657.47,574.39
"ACA1_123840","ACA1_123840","ybaK/ebsC protein",47.11,61.36,5.51,41.24,1.84,51.95,1.05
"ACA1_123850","ACA1_123850","LIM domain containing protein",45.2,24.32,320.58,34.23,315.73,31.39,247.43
"ACA1_123880","ACA1_123880","hypothetical protein",51.73,52.44,50.13,50.05,40.05,52.31,42.92
"ACA1_124250","ACA1_124250","transmembrane proteins 14c protein",39.91,36.43,41.6,33.58,42.19,29.17,43.47
"ACA1_124480","ACA1_124480","hypothetical protein",90.06,86.9,67.08,76.68,96.46,66.68,105.25
"ACA1_125040","ACA1_125040","hypothetical protein",147.66,168.62,74.11,141.43,100.52,156.1,126.27
"ACA1_125050","ACA1_125050","hypothetical protein",57.41,69.54,106.48,56.81,151.39,51.04,125.84
"ACA1_125060","ACA1_125060","response regulator receiver domain containing protein",49,43.58,88.35,69.95,134.13,97.26,162.7
"ACA1_125130","ACA1_125130","oxidoreductase family, NADbinding Rossmann fold domain containing protein",97.98,106.55,28.29,117.22,33.46,100.3,31.04
"ACA1_125280","ACA1_125280","LIM domain containing protein",200.3,196.2,334.88,205.64,223.76,235.13,162.42
"ACA1_125390","ACA1_125390","hypothetical protein",368.15,388.91,562,380.02,375.63,434.76,285.52
"ACA1_125410","ACA1_125410","LYR motifcontaining protein 7, putative",225.65,286.08,53.53,226.33,95.24,226.68,154.95
"ACA1_125530","ACA1_125530","hypothetical protein",118.37,152.61,35.13,173.36,70.59,193.5,111.44
"ACA1_125540","ACA1_125540","asparagine-tRNA ligase",91.65,90.73,13.58,114.08,3.56,109.2,6.9
"ACA1_125550","ACA1_125550","DNAdirected RNA polymerase, beta subunit",80.49,103.67,1.62,92.89,2.85,94.29,4.4
"ACA1_125950","ACA1_125950","hypothetical protein",42.85,36.86,88.24,35.04,71.64,36.66,70.08
"ACA1_125970","ACA1_125970","SH3 domain containing protein",111.46,108.61,150.76,96.55,158.31,93.3,165.38
"ACA1_125980","ACA1_125980","ATPdependent RNA helicase DHX8, putative",46.82,43.44,34.61,52.12,31.22,54.48,35.44
"ACA1_126180","ACA1_126180","BTB/POZ domain containing protein",46.25,47.06,61.61,43.74,46.63,45.1,39.07
"ACA1_126440","ACA1_126440","glutaredoxin, putative",124.83,142.68,56.02,145.74,43.11,155.4,46.6
"ACA1_126460","ACA1_126460","hypothetical protein",43.87,43.76,9.58,44.45,16.29,42.29,19.41
"ACA1_126680","ACA1_126680","Ras family protein",506.83,440.31,351.08,505.16,405.87,437.16,357.65
"ACA1_126700","ACA1_126700","TRM112 family protein",180.21,202.85,23.62,171.47,28.18,153.45,35.53
"ACA1_126710","ACA1_126710","HAD family hydrolase",49.95,61.05,92.45,46.98,96.62,45.77,96.38
"ACA1_126980","ACA1_126980","aconitate hydratase, cytoplasmic, putative",280.47,280.35,143.73,340.96,90.26,362.8,87.02
"ACA1_127420","ACA1_127420","aconitate hydratase",230.28,236.37,104.37,273.83,69.24,289.89,66.81
"ACA1_127430","ACA1_127430","hypothetical protein",469.68,639.37,129.51,600.48,258.5,648.85,349.67
"ACA1_127440","ACA1_127440","[Acyl-carrier protein] S-malonyltransferase",68.19,66.12,29.89,68.22,32.99,68.19,39.61
"ACA1_127470","ACA1_127470","hypothetical protein",44.12,29.71,69.64,27.65,42.43,51.04,14.08
"ACA1_127620","ACA1_127620","DNA repair protein alkB, putative",43.14,45.72,33.74,24.54,47.4,59.56,34.21
"ACA1_127890","ACA1_127890","spermidine synthase",671.78,751.3,329.29,732.6,29,758.57,17.11
"ACA1_127900","ACA1_127900","hypothetical protein",351.31,188.59,285.55,309.67,536.43,294.03,262.55
"ACA1_128190","ACA1_128190","hypothetical protein",149.37,123.24,200.73,121.07,190.9,96.24,154.27
"ACA1_128450","ACA1_128450","adenine nucleotide translocator, putative",3244.59,3121,2487.11,3424.91,2195.23,3722.61,1474.05
"ACA1_128510","ACA1_128510","chaperonin GroL, putative",119.99,172.81,14,215.83,24.04,243.46,54.46
"ACA1_128990","ACA1_128990","Bifunctional microsomal desaturase",170.66,190.11,135.88,257.5,130.74,394.48,145.09
"ACA1_129340","ACA1_129340","endothelin converting enzyme 2, putative",49.37,45.91,6.76,44.27,10.26,42.37,11.78
"ACA1_129370","ACA1_129370","GRAM domain containing protein",51.89,35.61,53.54,42.53,71.55,42.63,67.36
"ACA1_129510","ACA1_129510","hydrolase, alpha/beta fold domain containing protein",51.33,50.54,58.94,43.85,53.67,38.69,54.35
"ACA1_130590","ACA1_130590","fumarate hydratase, class II, putative",101.57,79.95,187.94,126.55,139.66,146.94,120.02
"ACA1_130840","ACA1_130840","glycerol-3-phosphate dehydrogenase protein, putative",359.6,307.32,127.35,309.24,22.13,314.75,3
"ACA1_130980","ACA1_130980","hypothetical protein",53.6,55.14,207.88,41.14,359.71,47.01,390.69
"ACA1_130990","ACA1_130990","hypothetical protein",101.43,104.37,110.87,96.47,109.75,89.41,114.67
"ACA1_131010","ACA1_131010","hypothetical protein",386.63,315.54,316.97,331.23,348.61,429.81,179.93
"ACA1_131240","ACA1_131240","ribosomal protein S32, putative",123.89,96.89,107.01,114.66,108.3,120.29,72.94
"ACA1_131490","ACA1_131490","Histone-lysine N-methyltransferase",51.38,51.77,24.73,51.91,20.9,53.57,29.9
"ACA1_131510","ACA1_131510","hypothetical protein",39.83,32.04,25.65,36.44,45.47,37.5,48.99
"ACA1_131570","ACA1_131570","transmembrane proteins 14c protein",40.86,37.42,64.62,35.8,62.85,31.17,61.99
"ACA1_131630","ACA1_131630","START domain containing protein",156.04,152.33,91.73,144.82,148.99,138.55,163.68
"ACA1_131760","ACA1_131760","nuclear distribution protein pac1, putative",99.77,84.38,77.52,91.33,77.47,87.94,77.41
"ACA1_131800","ACA1_131800","hypothetical protein",103.02,86.1,113.94,89.35,141.1,83.38,154.95
"ACA1_131810","ACA1_131810","ribosomal protein S21e, putative",6962.3,6851.76,6075.07,6223.02,5405.4,5451.68,5327.1
"ACA1_131910","ACA1_131910","EF hand domain containing protein",122.77,114.79,125.34,116.93,112.77,120.81,125.21
"ACA1_132360","ACA1_132360","glutamine-tRNA ligase",107.24,122.07,66.03,107.78,55.87,122.97,53.28
"ACA1_132680","ACA1_132680","hypothetical protein",601.92,723.49,146.48,566.07,23.06,459.42,10.23
"ACA1_132850","ACA1_132850","Putative tyrosine phosphatase family protein",63.81,55.41,66.49,59.72,85.46,60.43,114.21
"ACA1_132870","ACA1_132870","chromatin modifying protein 1b, putative",42.52,40.38,101.73,33.17,110.06,32.13,114.67
"ACA1_132890","ACA1_132890","APM1 (AMINOPEPTIDASE M1), putative",46.23,41.47,135.54,44.2,112.37,42.39,110.78
"ACA1_133120","ACA1_133120","methyltransferase, putatative",70.48,74.92,20.02,63.77,24.36,62.61,27.97
"ACA1_133160","ACA1_133160","hypothetical protein",74.82,70.27,29.42,73.84,40.23,74.53,53.75
"ACA1_133180","ACA1_133180","Ser/Thr phosphatase family superfamily protein",47.62,49.22,107.04,41.77,111.56,44.65,137.95
"ACA1_133420","ACA1_133420","hypothetical protein",467.86,506.88,289.67,475.12,266.06,514.68,249.12
"ACA1_133510","ACA1_133510","domain found in dishevelled, egl10, and pleckstrin domain containing protein",69.41,52.64,132.82,64.62,132.03,60.39,117.8
"ACA1_133540","ACA1_133540","signal recognition particle receptor subunit beta, putative",43.36,37.93,34.38,35.36,39.35,37.24,45.14
"ACA1_133600","ACA1_133600","gelation factor, putative",576.76,591.25,677.34,581.23,551.38,672.04,483.12
"ACA1_134270","ACA1_134270","hypothetical protein",100.45,129.17,105.28,118.61,33.89,127.43,12.71
"ACA1_134280","ACA1_134280","parkinson disease 7 domain containing protein 1, putative",96.09,89.08,102.29,71.97,106.91,66.02,94.14
"ACA1_134990","ACA1_134990","LSM domain containing protein",171.22,156.95,83.23,173.73,60.61,165.82,50.96
"ACA1_135000","ACA1_135000","Bromodomain containing protein",78.17,72.8,76.95,92.37,85.83,86.02,92.63
"ACA1_135110","ACA1_135110","Hypothetical protein",199.22,173.89,435.51,155.08,604.32,140.53,694.36
"ACA1_135580","ACA1_135580","Calciumbinding protein NCSA, putative",75.9,76.44,79.39,68.69,132.19,67.55,139.75
"ACA1_135590","ACA1_135590","hypothetical protein",370.43,337.01,191.11,360.77,233.61,292.73,236.79
"ACA1_135910","ACA1_135910","DSBAlike thioredoxin domain containing protein",82.14,62.29,49.64,58.11,60.73,55.75,81.41
"ACA1_135960","ACA1_135960","vacuolar atp synthase subunit h, putative",742.85,661.06,190.62,639.75,801.64,636.73,779.55
"ACA1_136070","ACA1_136070","Ribonuclease H1/H2 small subunit",81.86,72.81,58.09,67.92,67.94,65.88,75.16
"ACA1_136100","ACA1_136100","GTP-binding protein ychF family protein, putative",42.2,29.55,17.4,31.39,16.81,30.39,18.43
"ACA1_136150","ACA1_136150","26S proteasome nonATPase regulatory subunit 7, putative",146.83,155.37,431.35,129.99,156.03,144.02,119.42
"ACA1_136170","ACA1_136170","Cofilin/tropomyosin-type actin-binding protein",282.84,354.58,616.27,233.21,618.93,282.26,459.33
"ACA1_136630","ACA1_136630","Bystin, putative",53.95,57.68,1.02,47.57,2.23,39.63,4.17
"ACA1_137310","ACA1_137310","SPX domain containing protein",42.9,34.52,20.83,33.31,12.09,33.98,11.07
"ACA1_137420","ACA1_137420","LYAR-type C2HC zinc finger protein",42.33,42.65,0.28,40.7,0.25,34.73,0.99
"ACA1_137760","ACA1_137760","Mesenchymal stem cell protein DSCD75 family protein",79.97,63.18,73.89,50.9,57.26,46.02,100.35
"ACA1_137820","ACA1_137820","elongation factor Tu GTP binding domain containing protein",1078.49,1133.35,1235.47,1116.74,1536.72,1277.57,1619.3
"ACA1_138040","ACA1_138040","elongation factor 1alpha, somatic form, putative",5297.94,5623.51,4590.51,6447.54,5385.82,7547.45,4949.19
"ACA1_138290","ACA1_138290","hypothetical protein",42.38,34.48,32.16,30.55,131.11,31.42,164.65
"ACA1_138300","ACA1_138300","AIG2 family protein",52.24,63.7,63.62,41.35,20.96,39.23,30.45
"ACA1_138320","ACA1_138320","brix domain containing protein",40.52,45.29,0.25,43.73,0.4,40.48,0.7
"ACA1_138360","ACA1_138360","Ubiquitinconjugating enzyme subfamily protein",47.19,50.23,72.6,39.22,99.61,42.78,129.79
"ACA1_138450","ACA1_138450","S1/P1 Nuclease",407.7,365.82,126.36,350.06,105.71,349.61,242.46
"ACA1_138760","ACA1_138760","U2 snRNP auxilliary factor, large subunit, splicing factor subfamily protein",119.34,105.61,79.31,125.15,45.78,106.47,52.85
"ACA1_138800","ACA1_138800","hypothetical protein",169.55,131.24,118.38,185.77,141.55,147.79,172.34
"ACA1_138940","ACA1_138940","hypothetical protein",103.27,82.06,32.09,106.23,54.21,94.92,67.28
"ACA1_138950","ACA1_138950","retinal pigment epithelial membrane protein",43.65,37.51,12.55,37.81,19.88,36.81,25.06
"ACA1_138990","ACA1_138990","gammaadaptin 1, putative",62.68,62.54,74.52,66.33,72,72.87,89.23
"ACA1_139000","ACA1_139000","Histone H2A variant, putative",108.95,59.3,65.83,103.48,99.61,63.83,129.1
"ACA1_139040","ACA1_139040","myosin-light-chain kinase",720.98,742.81,537.16,677.65,688.07,696.65,671.7
"ACA1_139150","ACA1_139150","ENT domain containing protein",52.32,45.96,18.42,49.85,19.53,45.49,18.18
"ACA1_139260","ACA1_139260","GTPbinding protein",82.15,67.81,69.17,71.12,67.02,65.51,66.14
"ACA1_139420","ACA1_139420","Calcium binding protein 39 (Mo25 protein) isoform 5, putative",95.81,106.55,152.69,99.6,130.57,98.82,92.78
"ACA1_139430","ACA1_139430","kinesin motor domain containing protein",149.83,134.08,231.21,146.26,284.34,140.89,293.85
"ACA1_139540","ACA1_139540","protein serine/threonine kinase",355.59,323.07,459.43,298.38,438.61,268.65,361.44
"ACA1_139550","ACA1_139550","nadph cytochrome P450, putative",101.25,98.84,68.79,112.15,62.98,117.16,71.87
"ACA1_139810","ACA1_139810","UDPglucose dehydrogenase",155.31,190.54,64.55,161.23,20.52,181.98,10.96
"ACA1_139830","ACA1_139830","eukaryotic translation initiation factor 3 subunit 6 interacting family protein",245.02,272.31,45.58,259.25,39.35,269.62,40.01
