"","GeneId","Descripcion","Ctrl0hr","Encyst1hr","Encyst4hr","Encyst8hr"
"ACA1_097090","ACA1_097090","transloconassociated protein, putative",234.32,164.54,116.1,112.48
"ACA1_097160","ACA1_097160","hypothetical protein",185.06,149.23,135.12,135.69
"ACA1_097170","ACA1_097170","LSM domain containing protein",137.29,46.45,41.58,39.43
"ACA1_097230","ACA1_097230","Double-stranded DNA-binding domain containing protein",110.68,29.48,43.37,49.86
"ACA1_097240","ACA1_097240","hypothetical protein",132.51,139.87,175.2,184.59
"ACA1_097280","ACA1_097280","hypothetical protein",204.5,190.59,30.27,25.64
"ACA1_097290","ACA1_097290","hypothetical protein",47.48,79.47,103.96,126.19
"ACA1_097520","ACA1_097520","hypothetical protein",192.43,195.24,298.45,226.39
"ACA1_097590","ACA1_097590","amine oxidase, flavincontaining superfamily protein",230.7,168.85,77.79,81.58
"ACA1_097600","ACA1_097600","peroxidase",221.73,134.17,100.86,167.89
"ACA1_097680","ACA1_097680","acetyltransferase",58.96,7.56,5.72,8.36
"ACA1_097720","ACA1_097720","hypothetical protein",81.17,128.62,97.21,116.22
"ACA1_097750","ACA1_097750","CRAL/TRIO domain containing protein",48.78,20.09,21.14,20.13
"ACA1_097820","ACA1_097820","zincbinding alcohol dehydrogenase family protein",462.16,126.59,12.93,4.96
"ACA1_097960","ACA1_097960","ribosomal protein L33, putative",279.86,37.73,69.92,86.03
"ACA1_097970","ACA1_097970","methionine-tRNA ligase",74.4,90.42,47.55,39.85
"ACA1_098020","ACA1_098020","hypothetical protein",72.17,98.69,79.28,66.9
"ACA1_098060","ACA1_098060","ribosomal L40e family",3609.44,2989.8,2482.23,2523.38
"ACA1_098070","ACA1_098070","HCaRG protein",91.87,110.77,125.01,118.1
"ACA1_098110","ACA1_098110","saccharopine dehydrogenase",41.02,48.3,59.03,66.26
"ACA1_098120","ACA1_098120","hypothetical protein",179.44,89.03,114.68,105.18
"ACA1_098160","ACA1_098160","ABC transporter, ATPbinding domain containing protein",198.69,110.31,101.68,85.89
"ACA1_098390","ACA1_098390","methyltransferase, putative",122.48,33.25,57.73,80.84
"ACA1_098420","ACA1_098420","ammonium transporter subfamily protein",199.08,72.59,848.59,911.94
"ACA1_098430","ACA1_098430","hypothetical protein",56.02,0.52,1.3,2.33
"ACA1_098900","ACA1_098900","Putative transcriptional regulator cudA",68.65,83.73,27.29,30.41
"ACA1_098910","ACA1_098910","opioid growth factor receptor (ogfr) region protein, putative",61.17,114.07,65.56,39.53
"ACA1_098920","ACA1_098920","RhoGEF domain containing protein",42.05,34.8,32.12,27.76
"ACA1_099240","ACA1_099240","hypothetical protein",42.28,180.75,525.89,763.4
"ACA1_099250","ACA1_099250","hypothetical protein",273.82,386.92,1123.89,1467.97
"ACA1_099260","ACA1_099260","hypothetical protein",364.06,388.76,873.38,1004.3
"ACA1_099490","ACA1_099490","survival protein SurE subfamily protein",50.81,29.4,20.7,29.8
"ACA1_099730","ACA1_099730","hypothetical protein",73.14,32.5,34.67,27.05
"ACA1_100010","ACA1_100010","cell division control protein 42, putative",41.99,46.56,65.39,69.46
"ACA1_100080","ACA1_100080","NAD-dependent epimerase/dehydratase family protein",478.13,903.16,908.64,706.06
"ACA1_100510","ACA1_100510","flavinnucleotide-binding protein",90.36,33.24,34.05,34.58
"ACA1_100520","ACA1_100520","hypothetical protein",142.61,29.44,37.24,40.62
"ACA1_101060","ACA1_101060","inosineuridine preferring nucleoside hydrolase family protein",518.02,392.79,125.51,139.89
"ACA1_101080","ACA1_101080","Serine/threonine phosphatase",109.06,60.37,78.52,82.26
"ACA1_101400","ACA1_101400","splicing factor 3a subunit 2, putative",78.32,72.94,72.41,90.22
"ACA1_101520","ACA1_101520","ankyrin repeat-containing protein",65.36,88.94,83.87,79.98
"ACA1_101560","ACA1_101560","66-kDa stress protein p66, putative",58.29,200.78,158.25,122.9
"ACA1_103150","ACA1_103150","hypothetical protein",49.64,67.57,53.42,53.79
"ACA1_103200","ACA1_103200","proteintyrosine-phosphatase",182.96,129.5,151.69,188.2
"ACA1_103210","ACA1_103210","hypothetical protein",53.14,48.36,75.77,86.26
"ACA1_103630","ACA1_103630","peroxidase",350.99,736.4,765.1,529.68
"ACA1_103640","ACA1_103640","peroxidase",81.7,180.4,223.73,142.9
"ACA1_103990","ACA1_103990","GTPase activating protein Sar1, putative",40.11,16.87,20.29,14.94
"ACA1_104000","ACA1_104000","hypothetical protein",44.07,17.6,22.37,17.07
"ACA1_105240","ACA1_105240","signal peptide peptidase, putative",77.84,57.03,49.59,49.81
"ACA1_105760","ACA1_105760","Proteasome/cyclosome repeat containing protein",91.6,310.63,130.27,84.94
"ACA1_105890","ACA1_105890","protein kinase domain containing protein",48.07,33.49,32.19,30.31
"ACA1_105900","ACA1_105900","deoxyuridine 5'-triphosphate nucleotidohydrolase",196.33,37.98,8.47,25.93
"ACA1_105930","ACA1_105930","eukaryotic porin protein",476.68,278.84,236.85,222.46
"ACA1_105970","ACA1_105970","phytanoylCoA dioxygenase family protein",41.49,140.13,71.07,73.96
"ACA1_106280","ACA1_106280","hypothetical protein",77.32,64.93,106.57,139.1
"ACA1_106300","ACA1_106300","phosphoribosylaminoimidazole carboxylase, ATPase subunit",94.33,9.64,0.93,1.19
"ACA1_106370","ACA1_106370","glyoxylate reductase",87.39,28.24,3.3,2.89
"ACA1_106730","ACA1_106730","Ser/Thr phosphatase family protein, putative",92.88,2.15,0.65,1.13
"ACA1_106740","ACA1_106740","proteasome 26S subunit, putative",64.87,68.87,68.91,73.15
"ACA1_106800","ACA1_106800","EF hand domain containing protein",50.08,30.2,25.71,26.31
"ACA1_107440","ACA1_107440","Ser/Thr phosphatase family protein",248.74,88.13,179.52,258.53
"ACA1_107500","ACA1_107500","hypothetical protein",114.39,58.06,107.07,167.18
"ACA1_107590","ACA1_107590","translin",104.33,97.52,105.69,107.05
"ACA1_108230","ACA1_108230","hypothetical protein",117.43,105.34,104.76,113.51
"ACA1_108240","ACA1_108240","START domain containing protein",46.06,110.14,100.95,82.68
"ACA1_108270","ACA1_108270","transferrin receptor family dimerization domain containing protein",56.32,54.2,94.35,103.43
"ACA1_108800","ACA1_108800","CBS domain containing protein",45.17,41.85,34.37,56.23
"ACA1_108830","ACA1_108830","cycloartenol synthase",106.31,103.49,150.5,144.78
"ACA1_109120","ACA1_109120","hypothetical protein",91.4,676.86,58.48,38.37
"ACA1_109470","ACA1_109470","thioredoxin",41.19,22.21,27.43,30.68
"ACA1_109720","ACA1_109720","calponin domain containing protein",142.02,159.97,121.65,110.25
"ACA1_109750","ACA1_109750","lightoid family protein",92.33,100.89,127.96,128.95
"ACA1_109780","ACA1_109780","ATPase, AAA domain containing protein",56.5,46.81,30.75,29.52
"ACA1_109790","ACA1_109790","glutamate5-semialdehyde dehydrogenase",113.04,63.99,27,24.98
"ACA1_109800","ACA1_109800","WD domain, Gbeta repeat containing protein",69.87,29.58,33.26,34.82
"ACA1_109810","ACA1_109810","ankyrin repeat-containing protein",71.66,112.86,104.73,88.34
"ACA1_110070","ACA1_110070","acetyltransferase, GNAT family",45.99,26.43,21.5,23.79
"ACA1_110090","ACA1_110090","DEAD/DEAH box helicase domain containing protein",74.87,4.57,3.23,4.25
"ACA1_110110","ACA1_110110","FAD binding domain containing protein",69.63,36.45,25.32,31.61
"ACA1_110260","ACA1_110260","hypothetical protein",95.82,10.94,11.42,16.84
"ACA1_110290","ACA1_110290","hypothetical protein",39.64,64.7,51.03,48.09
"ACA1_110300","ACA1_110300","RNA polymerase",42.76,1.04,3.45,5.71
"ACA1_110370","ACA1_110370","hypothetical protein",51.3,98.74,114.76,130.87
"ACA1_110390","ACA1_110390","Ras-related protein Rab-2-B",51.19,50.67,51.38,47.28
"ACA1_110480","ACA1_110480","NTPase",51.51,11.75,4.49,6.5
"ACA1_110860","ACA1_110860","SID1 transmembrane family, member 1, putative",62.34,26.11,126.96,135.56
"ACA1_110940","ACA1_110940","hypothetical protein",49.56,35.91,64.88,61.34
"ACA1_111090","ACA1_111090","Coiledcoil domain containing protein",57.81,44.25,67.01,66.5
"ACA1_111550","ACA1_111550","1,2alpha-mannosidase",60.43,46.51,78.09,93.16
"ACA1_111730","ACA1_111730","hypothetical protein",57.26,70.44,62.01,60.01
"ACA1_111890","ACA1_111890","EF hand domain containing protein",107.55,73.76,97.99,102.88
"ACA1_111900","ACA1_111900","global transcription factor, putative",72.16,17.95,24.48,32.14
"ACA1_111910","ACA1_111910","histone h3, putative",207.04,25.27,0.71,1.99
"ACA1_111920","ACA1_111920","hypothetical protein",83.28,84.04,107.86,113.53
"ACA1_111930","ACA1_111930","carbonsulfur lyase, putative",82.67,33.31,41.39,44.71
"ACA1_111940","ACA1_111940","hypothetical protein",60.85,43.16,40.11,38.28
"ACA1_111950","ACA1_111950","lipid transport family protein",189.03,250.61,282.56,371.74
"ACA1_111960","ACA1_111960","ornithine cyclodeaminase",52.35,8.31,15.6,18.36
"ACA1_112030","ACA1_112030","hypothetical protein",106.92,88.85,140.59,141.49
"ACA1_112050","ACA1_112050","variant sh3 domain containing protein",45.8,30.02,33.72,33.51
"ACA1_112080","ACA1_112080","hypothetical protein",58.69,24.52,51.07,54.94
"ACA1_112160","ACA1_112160","dual specificity protein kinase",67.96,58.87,63.17,69.17
"ACA1_112460","ACA1_112460","protective antigen 4D8, putative",89.84,148.71,117.07,126.4
"ACA1_112510","ACA1_112510","sphingosine kinase",52.8,39.17,47.8,53.75
"ACA1_112580","ACA1_112580","nuclear pore glycoprotein p62, putative",62.69,10.01,17.16,27.31
"ACA1_112820","ACA1_112820","peptidyltRNA hydrolase",73.81,82.22,102.94,121.81
"ACA1_112860","ACA1_112860","EF hand domain containing protein",76.24,271.78,427.69,385.75
"ACA1_112870","ACA1_112870","nicotinamide nmethyltransferase",42.34,1.82,3.76,4.69
"ACA1_112900","ACA1_112900","sodium/calcium exchanger protein",68.68,46.17,47.38,56.41
"ACA1_112910","ACA1_112910","tetratricopeptide repeat domain containing protein",111,148.03,128.17,142.07
"ACA1_112960","ACA1_112960","deoxyhypusine hydroxylase",208.9,152.33,137.38,168.45
"ACA1_113440","ACA1_113440","hypothetical protein",125.82,86.47,97.95,109.45
"ACA1_113490","ACA1_113490","hypothetical protein",92.88,102.32,83.06,74.14
"ACA1_113520","ACA1_113520","Oraov1 protein",88.86,95.55,139.77,170.41
"ACA1_113550","ACA1_113550","hypothetical protein",74.51,58.62,71.18,82.06
"ACA1_113570","ACA1_113570","hypothetical protein",68.05,108.48,72.41,76.09
"ACA1_113580","ACA1_113580","GTP binding protein",146.04,217.92,239.72,181.6
"ACA1_113660","ACA1_113660","hypothetical protein",79.68,56.75,61.58,57.42
"ACA1_113680","ACA1_113680","peptidase M20, putative",208.24,120.01,104.69,115.89
"ACA1_113710","ACA1_113710","SH3 domain containing protein",144.68,267.46,228.63,183.28
"ACA1_113780","ACA1_113780","COP9 signalosome subunit 6, putative",127.45,214.44,150.59,126.87
"ACA1_113820","ACA1_113820","ABC2 type transporter superfamily protein",159.98,62.49,109.81,140.98
"ACA1_113850","ACA1_113850","peptidemethionine (S)-S-oxide reductase",92.42,212.89,103.02,121.83
"ACA1_113860","ACA1_113860","acyloxyacyl hydrolase",129.79,33.49,105.33,84.56
"ACA1_113940","ACA1_113940","WASH complex subunit 7 family protein",43.87,14.75,28.68,23.48
"ACA1_113950","ACA1_113950","hypothetical protein",568.36,347.18,323.98,268.26
"ACA1_114150","ACA1_114150","Ergosterol biosynthesis ERG4/ERG24 family protein",66.05,39.51,24.8,28.06
"ACA1_114440","ACA1_114440","peptidase M28, putative",52.09,32.88,35.77,33.65
"ACA1_114450","ACA1_114450","SH3 domain containing protein",173.29,209.31,184.96,126.99
"ACA1_114500","ACA1_114500","MACRO domain containing protein 1, putative",55.72,158.12,122.67,64.49
"ACA1_114520","ACA1_114520","Hypothetical protein",94.36,68.06,64.14,61.38
"ACA1_114540","ACA1_114540","carrier superfamily protein",89.7,41.53,63.15,82.12
"ACA1_114580","ACA1_114580","hyaluronan / mrna binding family protein",846.8,241.4,232.17,173.15
"ACA1_114590","ACA1_114590","proteasome activator protein",79.87,55.13,48.59,57.26
"ACA1_114600","ACA1_114600","hypothetical protein",88.96,9.23,16.66,15.06
"ACA1_114630","ACA1_114630","Serine/threonineprotein kinase",55.75,32.5,34.47,34.97
"ACA1_114640","ACA1_114640","ACN9 family protein",92.67,83.33,102.84,112.53
"ACA1_114650","ACA1_114650","hypothetical protein",121.67,413.4,584.93,530.94
"ACA1_114770","ACA1_114770","protein kinase",49.75,1.08,4.98,10.3
"ACA1_114880","ACA1_114880","LIM domain containing protein",1697.58,3523.79,3572.45,3040.73
"ACA1_114890","ACA1_114890","hypothetical protein",40.18,34.94,42.88,58.61
"ACA1_115160","ACA1_115160","HMG (high mobility group) box domain containing protein",120.32,12.81,12.68,25.68
"ACA1_115180","ACA1_115180","cwf18 pre-mRNA splicing factor protein",100.4,50.21,65.81,71.69
"ACA1_115350","ACA1_115350","hypothetical protein",70.37,145.9,161.64,137.01
"ACA1_115360","ACA1_115360","CUE domain containing protein",47.8,95.02,107.37,137.3
"ACA1_115370","ACA1_115370","hypothetical protein",75.54,77.51,78.06,84.26
"ACA1_115650","ACA1_115650","hypothetical protein",44.04,47.48,137.23,328.09
"ACA1_115670","ACA1_115670","aconitate hydratase, mitochondrial",39.52,4.47,1.18,0.82
"ACA1_115740","ACA1_115740","UDPglucose 4-epimerase",80.46,55.97,72.96,75.57
"ACA1_115840","ACA1_115840","Coiledcoil domain containing protein",128.22,3.98,9.96,14.27
"ACA1_116020","ACA1_116020","GTPaseactivating protein gacA",67.85,105.22,89.49,77.75
"ACA1_116130","ACA1_116130","Dipeptidylpeptidase",93.88,63.72,88.24,100.1
"ACA1_116140","ACA1_116140","dipeptidyl-peptidase family protein",44.4,27.88,35.9,44
"ACA1_116220","ACA1_116220","steroid isomerase",108.1,33.13,63.2,45.5
"ACA1_116250","ACA1_116250","DIL domain containing protein",43.63,63.19,65.45,75.72
"ACA1_116420","ACA1_116420","phosphoglycerate mutase family domain containing protein",50.97,21.7,32.3,30.44
"ACA1_116430","ACA1_116430","thymidine kinase",51.73,0.61,0.33,0.37
"ACA1_116490","ACA1_116490","hypothetical protein",40.15,37.61,31.35,28.77
"ACA1_116580","ACA1_116580","carboxypeptidase Ylike protein",87.09,15.65,9.97,8.38
"ACA1_116650","ACA1_116650","transcription factor pcc1 protein",97.42,79.77,71.98,68.49
"ACA1_116680","ACA1_116680","hypothetical protein",213.85,217.7,128.75,104.77
"ACA1_116700","ACA1_116700","hypothetical protein",92.65,43.18,593.17,2089.21
"ACA1_116720","ACA1_116720","DnaJ domain containing protein",120.71,23.41,56.23,74.33
"ACA1_116740","ACA1_116740","Omethyltransferase",41.06,53.82,33.04,36.05
"ACA1_116750","ACA1_116750","hypothetical protein",40.26,66.01,54.77,55.26
"ACA1_116760","ACA1_116760","hypothetical protein",55.25,51.02,52.16,58.46
"ACA1_116890","ACA1_116890","DNA-directed RNA polymerase II family protein",130.6,213.52,255.26,289.87
"ACA1_116920","ACA1_116920","hypothetical protein",53.03,142.42,151.99,177.23
"ACA1_116930","ACA1_116930","pyrroline5-carboxylate reductase",619.3,121.24,44.08,37.34
"ACA1_116940","ACA1_116940","protein phosphatase 2C domain containing protein",122.35,83.97,78.48,80.95
"ACA1_116960","ACA1_116960","hypothetical protein",110.13,38.82,26.86,24.23
"ACA1_116970","ACA1_116970","hypothetical protein",54.03,24.64,40.02,41.67
"ACA1_116990","ACA1_116990","carboxypeptidase",122.85,106.54,75.11,60.26
"ACA1_117010","ACA1_117010","hypothetical protein",40.11,26.65,8.2,7.27
"ACA1_117020","ACA1_117020","serine carboxypeptidase",129.56,38.71,26.44,21.71
"ACA1_117040","ACA1_117040","Rasrelated GTP-binding kinase",80.44,100.72,83.24,83.54
"ACA1_117080","ACA1_117080","Dcysteine desulfhydrase",125.62,103.62,41.92,38.97
"ACA1_117130","ACA1_117130","eukaryotic initiation factor 4e, putative",171.31,59.97,55.66,62.07
"ACA1_117150","ACA1_117150","ribosomal protein L34, putative",302.63,84.5,94.52,95.86
"ACA1_117180","ACA1_117180","serine/threonine kinase",69.4,29.62,12.66,12.68
"ACA1_117250","ACA1_117250","ubiquinone biosynthesis Omethyltransferase",53.49,24.13,24.73,25.98
"ACA1_117300","ACA1_117300","hypothetical protein",75.62,36.67,42.3,57.39
"ACA1_117310","ACA1_117310","hypothetical protein",50.81,2.04,0.43,1.75
"ACA1_117330","ACA1_117330","hydroxylamine reductase",41.22,26.47,21.1,22.75
"ACA1_118740","ACA1_118740","betalactamase",53.89,37.65,97.36,84.88
"ACA1_119150","ACA1_119150","Interferoninducible protein Gig2, putative",64.9,5.78,10.03,10.96
"ACA1_119160","ACA1_119160","ribosomal protein L31e, putative",5679.9,5112.5,4142.71,3889.46
"ACA1_119180","ACA1_119180","ribonucleosidediphosphate reductase, alpha subunit",81.19,1.57,1.53,2.89
"ACA1_119220","ACA1_119220","peptidylprolyl cis-trans isomerase, cyclophilin-type family protein",94.54,83.51,62.47,55.39
"ACA1_119230","ACA1_119230","Armadillo/betacatenin-like repeat domain containing protein",77.63,228.4,217,295.63
"ACA1_119240","ACA1_119240","glutamicoxaloacetic transaminase, mitochondrial, putative",240.39,90.98,85.43,139.04
"ACA1_119270","ACA1_119270","Raclike protein",502.47,683.63,657.19,552.14
"ACA1_119290","ACA1_119290","hypothetical protein",100.78,10.02,16.48,21.73
"ACA1_119410","ACA1_119410","COP9, putative",175.1,385.2,397.61,352.36
"ACA1_119430","ACA1_119430","RNA recognition motif domain containing protein",105.57,7.63,14.94,18.14
"ACA1_119490","ACA1_119490","zinc finger domain containing protein",39.56,10.27,15.77,20.58
"ACA1_119840","ACA1_119840","ubiquitinlike protein",68.17,71.06,75.46,70.61
"ACA1_120250","ACA1_120250","doublecortin protein",96,173.2,146.77,143.78
"ACA1_121530","ACA1_121530","tyrosine phosphatase",52.91,106.67,137.15,141.59
"ACA1_121760","ACA1_121760","B-box zinc finger family protein",125.99,205.77,228.3,235.2
"ACA1_122700","ACA1_122700","amine oxidase, flavincontaining superfamily protein",211.64,86.75,75.63,33.89
"ACA1_123350","ACA1_123350","hypothetical protein",103.72,111.68,125.04,139.94
"ACA1_123750","ACA1_123750","hypothetical protein",64.82,68.15,54.72,41.79
"ACA1_123770","ACA1_123770","hypothetical protein",548.13,355.25,642.95,574.39
"ACA1_123840","ACA1_123840","ybaK/ebsC protein",47.11,5.51,1.84,1.05
"ACA1_123850","ACA1_123850","LIM domain containing protein",45.2,320.58,315.73,247.43
"ACA1_123880","ACA1_123880","hypothetical protein",51.73,50.13,40.05,42.92
"ACA1_124250","ACA1_124250","transmembrane proteins 14c protein",39.91,41.6,42.19,43.47
"ACA1_124480","ACA1_124480","hypothetical protein",90.06,67.08,96.46,105.25
"ACA1_125040","ACA1_125040","hypothetical protein",147.66,74.11,100.52,126.27
"ACA1_125050","ACA1_125050","hypothetical protein",57.41,106.48,151.39,125.84
"ACA1_125060","ACA1_125060","response regulator receiver domain containing protein",49,88.35,134.13,162.7
"ACA1_125130","ACA1_125130","oxidoreductase family, NADbinding Rossmann fold domain containing protein",97.98,28.29,33.46,31.04
"ACA1_125280","ACA1_125280","LIM domain containing protein",200.3,334.88,223.76,162.42
"ACA1_125390","ACA1_125390","hypothetical protein",368.15,562,375.63,285.52
"ACA1_125410","ACA1_125410","LYR motifcontaining protein 7, putative",225.65,53.53,95.24,154.95
"ACA1_125530","ACA1_125530","hypothetical protein",118.37,35.13,70.59,111.44
"ACA1_125540","ACA1_125540","asparagine-tRNA ligase",91.65,13.58,3.56,6.9
"ACA1_125550","ACA1_125550","DNAdirected RNA polymerase, beta subunit",80.49,1.62,2.85,4.4
"ACA1_125950","ACA1_125950","hypothetical protein",42.85,88.24,71.64,70.08
"ACA1_125970","ACA1_125970","SH3 domain containing protein",111.46,150.76,158.31,165.38
"ACA1_125980","ACA1_125980","ATPdependent RNA helicase DHX8, putative",46.82,34.61,31.22,35.44
"ACA1_126180","ACA1_126180","BTB/POZ domain containing protein",46.25,61.61,46.63,39.07
"ACA1_126440","ACA1_126440","glutaredoxin, putative",124.83,56.02,43.11,46.6
"ACA1_126460","ACA1_126460","hypothetical protein",43.87,9.58,16.29,19.41
"ACA1_126680","ACA1_126680","Ras family protein",506.83,351.08,405.87,357.65
"ACA1_126700","ACA1_126700","TRM112 family protein",180.21,23.62,28.18,35.53
"ACA1_126710","ACA1_126710","HAD family hydrolase",49.95,92.45,96.62,96.38
"ACA1_126980","ACA1_126980","aconitate hydratase, cytoplasmic, putative",280.47,143.73,90.26,87.02
"ACA1_127420","ACA1_127420","aconitate hydratase",230.28,104.37,69.24,66.81
"ACA1_127430","ACA1_127430","hypothetical protein",469.68,129.51,258.5,349.67
"ACA1_127440","ACA1_127440","[Acyl-carrier protein] S-malonyltransferase",68.19,29.89,32.99,39.61
"ACA1_127470","ACA1_127470","hypothetical protein",44.12,69.64,42.43,14.08
"ACA1_127620","ACA1_127620","DNA repair protein alkB, putative",43.14,33.74,47.4,34.21
"ACA1_127890","ACA1_127890","spermidine synthase",671.78,329.29,29,17.11
"ACA1_127900","ACA1_127900","hypothetical protein",351.31,285.55,536.43,262.55
"ACA1_128190","ACA1_128190","hypothetical protein",149.37,200.73,190.9,154.27
"ACA1_128450","ACA1_128450","adenine nucleotide translocator, putative",3244.59,2487.11,2195.23,1474.05
"ACA1_128510","ACA1_128510","chaperonin GroL, putative",119.99,14,24.04,54.46
"ACA1_128990","ACA1_128990","Bifunctional microsomal desaturase",170.66,135.88,130.74,145.09
"ACA1_129340","ACA1_129340","endothelin converting enzyme 2, putative",49.37,6.76,10.26,11.78
"ACA1_129370","ACA1_129370","GRAM domain containing protein",51.89,53.54,71.55,67.36
"ACA1_129510","ACA1_129510","hydrolase, alpha/beta fold domain containing protein",51.33,58.94,53.67,54.35
"ACA1_130590","ACA1_130590","fumarate hydratase, class II, putative",101.57,187.94,139.66,120.02
"ACA1_130840","ACA1_130840","glycerol-3-phosphate dehydrogenase protein, putative",359.6,127.35,22.13,3
"ACA1_130980","ACA1_130980","hypothetical protein",53.6,207.88,359.71,390.69
"ACA1_130990","ACA1_130990","hypothetical protein",101.43,110.87,109.75,114.67
"ACA1_131010","ACA1_131010","hypothetical protein",386.63,316.97,348.61,179.93
"ACA1_131240","ACA1_131240","ribosomal protein S32, putative",123.89,107.01,108.3,72.94
"ACA1_131490","ACA1_131490","Histone-lysine N-methyltransferase",51.38,24.73,20.9,29.9
"ACA1_131510","ACA1_131510","hypothetical protein",39.83,25.65,45.47,48.99
"ACA1_131570","ACA1_131570","transmembrane proteins 14c protein",40.86,64.62,62.85,61.99
"ACA1_131630","ACA1_131630","START domain containing protein",156.04,91.73,148.99,163.68
"ACA1_131760","ACA1_131760","nuclear distribution protein pac1, putative",99.77,77.52,77.47,77.41
"ACA1_131800","ACA1_131800","hypothetical protein",103.02,113.94,141.1,154.95
"ACA1_131810","ACA1_131810","ribosomal protein S21e, putative",6962.3,6075.07,5405.4,5327.1
"ACA1_131910","ACA1_131910","EF hand domain containing protein",122.77,125.34,112.77,125.21
"ACA1_132360","ACA1_132360","glutamine-tRNA ligase",107.24,66.03,55.87,53.28
"ACA1_132680","ACA1_132680","hypothetical protein",601.92,146.48,23.06,10.23
"ACA1_132850","ACA1_132850","Putative tyrosine phosphatase family protein",63.81,66.49,85.46,114.21
"ACA1_132870","ACA1_132870","chromatin modifying protein 1b, putative",42.52,101.73,110.06,114.67
"ACA1_132890","ACA1_132890","APM1 (AMINOPEPTIDASE M1), putative",46.23,135.54,112.37,110.78
"ACA1_133120","ACA1_133120","methyltransferase, putatative",70.48,20.02,24.36,27.97
"ACA1_133160","ACA1_133160","hypothetical protein",74.82,29.42,40.23,53.75
"ACA1_133180","ACA1_133180","Ser/Thr phosphatase family superfamily protein",47.62,107.04,111.56,137.95
"ACA1_133420","ACA1_133420","hypothetical protein",467.86,289.67,266.06,249.12
"ACA1_133510","ACA1_133510","domain found in dishevelled, egl10, and pleckstrin domain containing protein",69.41,132.82,132.03,117.8
"ACA1_133540","ACA1_133540","signal recognition particle receptor subunit beta, putative",43.36,34.38,39.35,45.14
"ACA1_133600","ACA1_133600","gelation factor, putative",576.76,677.34,551.38,483.12
"ACA1_134270","ACA1_134270","hypothetical protein",100.45,105.28,33.89,12.71
"ACA1_134280","ACA1_134280","parkinson disease 7 domain containing protein 1, putative",96.09,102.29,106.91,94.14
"ACA1_134990","ACA1_134990","LSM domain containing protein",171.22,83.23,60.61,50.96
"ACA1_135000","ACA1_135000","Bromodomain containing protein",78.17,76.95,85.83,92.63
"ACA1_135110","ACA1_135110","Hypothetical protein",199.22,435.51,604.32,694.36
"ACA1_135580","ACA1_135580","Calciumbinding protein NCSA, putative",75.9,79.39,132.19,139.75
"ACA1_135590","ACA1_135590","hypothetical protein",370.43,191.11,233.61,236.79
"ACA1_135910","ACA1_135910","DSBAlike thioredoxin domain containing protein",82.14,49.64,60.73,81.41
"ACA1_135960","ACA1_135960","vacuolar atp synthase subunit h, putative",742.85,190.62,801.64,779.55
"ACA1_136070","ACA1_136070","Ribonuclease H1/H2 small subunit",81.86,58.09,67.94,75.16
"ACA1_136100","ACA1_136100","GTP-binding protein ychF family protein, putative",42.2,17.4,16.81,18.43
"ACA1_136150","ACA1_136150","26S proteasome nonATPase regulatory subunit 7, putative",146.83,431.35,156.03,119.42
"ACA1_136170","ACA1_136170","Cofilin/tropomyosin-type actin-binding protein",282.84,616.27,618.93,459.33
"ACA1_136630","ACA1_136630","Bystin, putative",53.95,1.02,2.23,4.17
"ACA1_137310","ACA1_137310","SPX domain containing protein",42.9,20.83,12.09,11.07
"ACA1_137420","ACA1_137420","LYAR-type C2HC zinc finger protein",42.33,0.28,0.25,0.99
"ACA1_137760","ACA1_137760","Mesenchymal stem cell protein DSCD75 family protein",79.97,73.89,57.26,100.35
"ACA1_137820","ACA1_137820","elongation factor Tu GTP binding domain containing protein",1078.49,1235.47,1536.72,1619.3
"ACA1_138040","ACA1_138040","elongation factor 1alpha, somatic form, putative",5297.94,4590.51,5385.82,4949.19
"ACA1_138290","ACA1_138290","hypothetical protein",42.38,32.16,131.11,164.65
"ACA1_138300","ACA1_138300","AIG2 family protein",52.24,63.62,20.96,30.45
"ACA1_138320","ACA1_138320","brix domain containing protein",40.52,0.25,0.4,0.7
"ACA1_138360","ACA1_138360","Ubiquitinconjugating enzyme subfamily protein",47.19,72.6,99.61,129.79
"ACA1_138450","ACA1_138450","S1/P1 Nuclease",407.7,126.36,105.71,242.46
"ACA1_138760","ACA1_138760","U2 snRNP auxilliary factor, large subunit, splicing factor subfamily protein",119.34,79.31,45.78,52.85
"ACA1_138800","ACA1_138800","hypothetical protein",169.55,118.38,141.55,172.34
"ACA1_138940","ACA1_138940","hypothetical protein",103.27,32.09,54.21,67.28
"ACA1_138950","ACA1_138950","retinal pigment epithelial membrane protein",43.65,12.55,19.88,25.06
"ACA1_138990","ACA1_138990","gammaadaptin 1, putative",62.68,74.52,72,89.23
"ACA1_139000","ACA1_139000","Histone H2A variant, putative",108.95,65.83,99.61,129.1
"ACA1_139040","ACA1_139040","myosin-light-chain kinase",720.98,537.16,688.07,671.7
"ACA1_139150","ACA1_139150","ENT domain containing protein",52.32,18.42,19.53,18.18
"ACA1_139260","ACA1_139260","GTPbinding protein",82.15,69.17,67.02,66.14
"ACA1_139420","ACA1_139420","Calcium binding protein 39 (Mo25 protein) isoform 5, putative",95.81,152.69,130.57,92.78
"ACA1_139430","ACA1_139430","kinesin motor domain containing protein",149.83,231.21,284.34,293.85
