"","PDescription","TPM_Basal"
"3277","hypothetical protein",0.85
"3278","Channel-conductance-controlling ATPase",0.18
"3279","ABC transporter transmembrane region domain containing protein",0.88
"3280","Magnesium-ATPase",2.51
"3281","hypothetical protein",8.7
"3282","hypothetical protein",1.14
"3283","hypothetical protein",0.36
"3284","cellulase, putative",0.32
"3285","Ras subfamily protein",1.28
"3286","hypothetical protein",0.48
"3287","hypothetical protein",0.02
"3288","protein prenyltransferase, putative",6.87
"3289","MIF4G domain containing protein",13.75
"3290","hypothetical protein",0.09
"3291","Ras subfamily protein",2.71
"3292","ankyrin repeat-containing protein",9.82
"3293","Ras subfamily protein",12.9
"3294","ankyrin repeat-containing protein",11.35
"3295","Ras family protein",12.61
"3296","cysteine proteinase",3.22
"3297","Ras subfamily protein",9.67
"3298","peptidase",0.75
"3299","hypothetical protein",17.96
"3300","transcription factor iia, alpha/beta subunit protein",25.46
"3301","hypothetical protein",15.06
"3302","peroxidase",0.4
"3303","protein kinase domain containing protein",1.05
"3304","diacylglycerol kinase",21.51
"3305","protein tssc1, putative",15.21
"3306","Hypothetical protein",14.18
"3307","hypothetical protein",4.99
"3308","transloconassociated protein subunit beta, putative",129.89
"3309","hypothetical protein",11.99
"3310","small conserved protein",226.34
"3311","3deoxy-7-phosphoheptulonate synthase",43.26
"3312","phospholipase D, putative",10.77
"3313","bZIP transcription factor domain containing protein",107.11
"3314","hypothetical protein",7.25
"3315","hypothetical protein",4.18
"3316","cullin family protein",9.88
"3317","zinc finger, C3HC4 type (RING finger) domain containing protein",21.51
"3318","peptidase M16 family protein",539.88
"3319","hypothetical protein",3.14
"3320","hypothetical protein",29.53
"3321","ICElike protease (caspase) p20 domain containing protein",0.14
"3322","dihydrodipicolinate synthetase",19.87
"3323","Armadillo/betacatenin-like repeat domain containing protein",5.81
"3324","hypothetical protein",9.6
"3325","tetratricopeptide repeat domain containing protein",5.22
"3326","Tripeptidylpeptidase 1, putative",118.26
"3327","betaamylase",14.94
"3328","hypothetical protein",12.61
"3329","hypothetical protein",9.92
"3330","hypothetical protein",18.7
"3331","hypothetical protein",32.41
"3332","RhoGEF domain containing protein",1.45
"3333","Ser/Thr phosphatase family superfamily protein",6.19
"3334","tRNAHis guanylyltransferase family protein",14.86
"3335","RhoGAP domain containing protein",5.7
"3336","NACHT domain containing protein",3.05
"3337","hypothetical protein",17.01
"3338","retinol dehydrogenase 14 (all-trans and 9-cis) family protein",3.34
"3339","hypothetical protein",11.95
"3340","lightdependent protochlorophyllide reductase, putative",0.76
"3341","PQQ enzyme repeat domain containing protein",0.42
"3342","hypothetical protein",1.28
"3343","shortchain dehydrogenase/reductase SDR, putative",1.16
"3344","hypothetical protein",0.01
"3345","hypothetical protein",0.13
"3346","DUF614 family protein",206.2
"3347","hypothetical protein",1.53
"3348","scavenger mrna decapping enzyme (dcps) protein",5.66
"3349","hypothetical protein",54.98
"3350","RhoGAP domain containing protein",30.67
"3351","aldo/keto reductase family oxidoreductase",11.71
"3352","surfeit locus protein 6 protein",31.98
"3353","ATP binding protein, putative",9.52
"3354","Myotubularinrelated protein",17.93
"3355","RhoGEF domain containing protein",10.09
"3356","60S ribosomal protein L36, putative",2984.75
"3357","oxidoreductase, 2OGFe(II) oxygenase family protein",6.03
"3358","RhoGEF domain containing protein",1.33
"3359","hypothetical protein",4.34
"3360","hypothetical protein",43.23
"3361","AmpGrelated permease",14.4
"3362","hypothetical protein",18.95
"3363","Ubox domain containing protein",32.69
"3364","U-box domain containing protein",14.48
"3365","hypothetical protein",4.17
"3366","hypothetical protein",1.02
"3367","hypothetical protein",1.87
"3368","hypothetical protein",1.64
"3369","ABC transporter, ATPbinding domain containing protein",3.11
"3370","nicotinamide nucleotide transhydrogenase, putative",9.37
"3371","isochorismatase family superfamily protein",28.28
"3372","zinc finger, C3HC4 type (RING finger) domain containing protein",19.07
"3373","endonuclease",21.76
"3374","leucine rich repeat domain containing protein",18.56
"3375","checkpoint protein hus1, putative",6.37
"3376","opioid growth factor receptor (ogfr) region protein, putative",1.58
"3377","hypothetical protein",0.57
"3378","hypothetical protein",18.8
"3379","phorbol esters/diacylglycerol binding domain containing protein",5.89
"3380","hypothetical protein",0.1
"3381","hypothetical protein",12.96
"3382","CBS domain containing protein",1.97
"3383","betalactamase",3.27
"3384","hypothetical protein",129.18
"3385","Mad3/BUB1 region 1 family protein",9.97
"3386","serine/threonine kinase",0.59
"3387","MutS domain containing protein",5.11
"3388","serine/threonine kinase",0.31
"3389","hypothetical protein",15.35
"3390","farnesyldiphosphate farnesyltransferase",112.29
"3391","UBA/TS-N domain containing protein",16.15
"3392","serine/threonine kinase",4.99
"3393","hypothetical protein",42.69
"3394","hypothetical protein",31.66
"3395","malate/Llactate dehydrogenase",9.29
"3396","regulator of g protein signaling domain containing protein",2.21
"3397","transporter, major facilitator subfamily protein",5.22
"3398","cupin domain containing protein",0.72
"3399","hypothetical protein",17.4
"3400","betalactamase",4.03
"3401","amidohydrolase superfamily protein",6.84
"3402","vacuolar proton ATPase, putative",246.81
"3403","FAD binding domain containing protein",23.41
"3404","hypothetical protein",1.95
"3405","hypothetical protein",5.4
"3406","hypothetical protein",3.92
"3407","Ras subfamily protein",3.82
"3408","Solute carrier family 35, member E3, putative",17.49
"3409","protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic, putative",263.38
"3410","hypothetical protein",6.47
"3411","BTB/POZ domain containing protein",5.61
"3412","hypothetical protein",1.9
"3413","chromatin modificationrelated protein eaf3, putative",14.37
"3414","hypothetical protein",2.19
"3415","pitrilysin metallopeptidase 1, putative",39.35
"3416","hypothetical protein",16.85
"3417","hypothetical protein",8
"3418","cytosolic regulator of adenylate cyclase",1.38
"3419","glycosyl hydrolase",2.14
"3420","NBARC domain containing protein",0.84
"3421","NACHT domain containing protein",0.74
"3422","betaglucuronidase, putative",0.67
"3423","Fbox domain containing protein",2.34
"3424","proteasome assembly chaperone 2, putative",21.02
"3425","DNA ligaselike, putative",38.2
"3426","serine/threonine kinase",52.63
"3427","Tubulin-tyrosine ligase family protein",14.76
"3428","hypothetical protein",1367.71
"3429","non-specific protein-tyrosine kinase",3.9
"3430","calcium/calmodulindependent protein kinase",3.09
"3431","bromodomain domain containing protein",12.35
"3432","Dual specificity protein kinase",13.74
"3433","macro domain containing protein",15.39
"3434","hypothetical protein",7.75
"3435","Ras subfamily protein",18.82
"3436","hypothetical protein",3.23
"3437","hypothetical protein",5.38
"3438","hypothetical protein",5.56
"3439","Tcomplex protein 1, theta subunit",196.28
"3440","RNA polymerase Rpb3/Rpb11 dimerization domain containing protein",21.3
"3441","hypothetical protein",6.48
"3442","Ras subfamily protein",5.94
"3443","hypothetical protein",8.94
"3444","endonuclease/exonuclease/phosphatase family protein",6.57
"3445","elongation factor Tu GTP binding domain containing protein",56.49
"3446","Ras subfamily protein",3.72
"3447","TBC domain containing protein",8.33
"3448","hypothetical protein",1.13
"3449","hypothetical protein",32.25
"3450","hypothetical protein",4.41
"3451","hypothetical protein",4.44
"3452","hypothetical protein",7.58
"3453","Ras subfamily protein",11.9
"3454","ABC1 domain containing protein",32.96
"3455","hypothetical protein",25.85
"3456","cell wall anchor domain containing protein",0.04
"3457","hypothetical protein",0.43
"3458","TBC domain containing protein",23.96
"3459","Chromatin associated protein",23.9
"3460","magnesiumdependent phosphatase-1, putative",16.12
"3461","RNA export 1, putative",52.69
"3462","serine/threonine kinase",4.11
"3463","hypothetical protein",13.29
"3464","hypothetical protein",113.39
"3465","hypothetical protein",23
"3466","hypothetical protein",0.01
"3467","hypothetical protein",2.04
"3468","hypothetical protein",0.02
"3469","hypothetical protein",0.01
"3470","hypothetical protein",0.03
"3471","ABC transporter family protein",45.98
"3472","hypothetical protein",9.53
"3473","protein kinase",3.85
"3474","leucine rich repeat domain containing protein",10.81
"3475","nuclear protein SET, putative",57.43
"3476","hypothetical protein",95.03
"3477","cudA family protein",83.33
"3478","hypothetical protein",0.73
"3479","hypothetical protein",3.55
"3480","allantoinase",24.98
"3481","ankyrin repeat-containing protein",65.84
"3482","methyltransferase type 11, putative",168.92
"3483","urocanate hydratase",12.95
"3484","hypothetical protein",0.98
"3485","acylCoA dehydrogenase family protein",27.77
"3486","hypothetical protein",3.74
"3487","hypothetical protein",3.42
"3488","Fbox domain containing protein",3.93
"3489","hypothetical protein",0.64
"3490","BTB/POZ domain containing protein",18.88
"3491","hypothetical protein",4.08
"3492","phospholipase D, putative",10.68
"3493","casein kinase ii subunit alpha, putative",24.8
"3494","hypothetical protein",5.92
"3495","golgi transport 1 A family protein",12.87
"3496","RhoGAP domain containing protein",18.59
"3497","spindle pole body interacting protein",12.54
"3498","Protein kinase 3",14.89
"3499","pyruvate kinase, barrel domain containing protein",27.9
"3500","DENN (AEX3) domain containing protein",14.59
"3501","mediator of rna polymerase ii transcription, putative",14.16
"3502","hypothetical protein",15.08
"3503","hypothetical protein",19.7
"3504","S1 RNA binding domain containing protein",17.98
"3505","Ras family GTPase",305.37
"3506","hypothetical protein",30.53
"3507","nucleoporin, putative",33.66
"3508","tetratricopeptide repeat domain containing protein",5.84
"3509","Znfinger in Ran binding protein and others domain containing protein",15.48
"3510","hypothetical protein",3.83
"3511","Omethyltransferase",29.16
"3512","hypothetical protein",9.61
"3513","hypothetical protein",7.63
"3514","Polyprotein",25.04
"3515","RhoGAP domain containing protein",7.25
"3516","RSNARE, VAMP72-family",1.47
"3517","hypothetical protein",4.72
"3518","hypothetical protein",5.71
"3519","Phospholipid methyltransferase",112.51
"3520","GM2activator protein",93.45
"3521","Fbox domain containing protein",18.02
"3522","ADPribosylglycohydrolase superfamily protein",6.48
"3523","superoxide dismutase (Mn), putative",17.63
"3524","hypothetical protein",11.27
"3525","Myblike DNA-binding domain containing protein",7.29
"3526","RhoGEF domain containing protein",25.95
"3527","hypothetical protein",3
"3528","antibiotic biosynthesis monooxygenase subfamily protein",1277.44
"3529","linker histone H1 and H5 domain containing protein",1
"3530","cytidylyltransferase",62.68
"3531","hypothetical protein",48.75
"3532","hypothetical protein",4.79
"3533","ATP:L-methionine S-Adenosyltransferase",5444.28
"3534","hypothetical protein",19.69
"3535","tRNA nucleotidyltransferase/poly(A) polymerase family domain containing protein",47.73
"3536","zinc finger domain containing protein",8.6
"3537","PAS domain Sbox domain containing protein",211.15
"3538","ATP synthase subunit epsilon, mitochondrial, putative",1165.2
"3539","RNA recognition motif domain containing protein",30.14
"3540","RhoGEF domain containing protein",7.94
"3541","hypothetical protein",33.09
"3542","MORN repeat-containing protein",28.56
"3543","DNA-7-methylguanine glycosylase",20.76
"3544","SET domain containing protein",8.19
"3545","riboflavin biosynthesis protein RibD Cterminal domain protein",58.53
"3546","hypothetical protein",1.81
"3547","hypothetical protein",16.13
"3548","peptidase family M13, putative",10.83
"3549","Ras subfamily Rab protein",8.5
"3550","Ras subfamily protein",6.2
"3551","hypothetical protein",4.35
"3552","Rasrelated protein Rab5, putative",18.64
"3553","calmodulin, putative",84.66
"3554","hypothetical protein",89.98
"3555","zinc finger, c2h2 type domain containing protein",153.15
"3556","acylphosphatase",6.52
"3557","NIPSNAP family protein",91.3
"3558","hypothetical protein",9.29
"3559","hypothetical protein",329.84
"3560","metallopeptidase",45.6
"3561","endothelinconverting protein 1, putative",34.5
"3562","hypothetical protein",5.12
"3563","RFX DNAbinding domain containing protein",3.71
"3564","Synaptobrevin, putative",18.6
"3565","Hras1 protein",0.16
"3566","hypothetical protein",7.2
"3567","hypothetical protein",0.87
"3568","hypothetical protein",8.12
"3569","hydrolase, NUDIX domain containing protein",17.99
"3570","pyridine nucleotidedisulfide oxidoreductase domain containing protein",5.78
"3571","phosphate ABC transporter, phosphate-binding protein PstS protein",0.45
"3572","serine/threonine kinase",1.12
"3573","F-box domain containing protein",5.26
"3574","alpha/beta fold family hydrolase",15.19
"3575","FYVEtype Zn finger-containing protein",8.04
"3576","Znfinger domain containing protein",21.92
"3577","hypothetical protein",8.09
"3578","Fbox domain containing protein",3.52
"3579","serine/threonine protein kinase",1.3
"3580","RNA pseudouridine synthase",12.39
"3581","hypothetical protein",5.26
"3582","xylose isomerase domain containing protein",17.84
"3583","serine carboxypeptidase",23.39
"3584","ubiquitin family (UBL) post-translational modifier, putative",92.81
"3585","hypothetical protein",19.91
"3586","hypothetical protein",5.66
"3587","hypothetical protein",13.58
"3588","hydrolase, putative",72.19
"3589","hypothetical protein",0.01
"3590","hypothetical protein",0.1
"3591","hypothetical protein",3.75
"3592","telomerase reverse transcriptase",5.43
"3593","hypothetical protein",3.16
"3594","CBS domain containing protein",21.4
"3595","HD domain containing protein",17.49
"3596","oxidoreductase, 2nitropropane dioxygenase subfamily protein",7.8
"3597","hypothetical protein",8.15
"3598","2-dehydropantoate 2-reductase subfamily protein",12.87
"3599","hypothetical protein",3.98
"3600","hypothetical protein",21.5
"3601","leucine rich repeat domain containing protein",16.01
"3602","NlpC/P60 domain containing protein",84.13
"3603","EF hand domain containing protein",20
"3604","hypothetical protein",10.35
"3605","hypothetical protein",2.83
"3606","amidase domain containing protein",44.49
"3607","GTPase domain containing protein",16.79
"3608","hypothetical protein",13.12
"3609","hypothetical protein",5.49
"3610","herpesviridae ul52/ul70 dna primase",5.95
"3611","hypothetical protein",3.01
"3612","hypothetical protein",1.22
"3613","Arf GTPase activating protein",17.06
"3614","Fbox domain containing protein",5.03
"3615","steroid isomerase",111.41
"3616","oxidoreductase, aldo/keto reductase superfamily protein",26.95
"3617","hypothetical protein",10.35
"3618","hypothetical protein",5.86
"3619","phosphatase",46.27
"3620","UAA transporter family protein",0.04
"3621","TRAUB domain containing protein",14.53
"3622","SRP40, C-terminal domain containing protein",22.43
"3623","dipeptidyl peptidase",8.31
"3624","WD domain, G-beta repeat-containing protein",10.62
"3625","hypothetical protein",619.6
"3626","Non-specific lipid-transfer protein",28.66
"3627","WD domain, G-beta repeat-containing protein",20.95
"3628","aromatic ringopening dioxygenase, catalytic subunit LigB superfamily protein",9.59
"3629","Ubox domain containing protein",23
"3630","actinfragmin kinase",6.68
"3631","sphingomyelin phosphodiesterase",13.65
"3632","hypothetical protein",8.5
"3633","MYND finger domain containing protein",7.99
"3634","hypothetical protein",118.3
"3635","Poly(ADPribose) polymerase",2.82
"3636","hypothetical protein",3.7
"3637","ADPribosylation factor 1, putative",249.07
"3638","serine/threonine kinase",29.13
"3639","zinc knuckle domain containing protein",0.75
"3640","hypothetical protein",0.01
"3641","BNR/Aspbox repeat domain containing protein",62.88
"3642","cell division cycle protein, putative",8.4
"3643","dynamin domain containing protein",20.11
"3644","hypothetical protein",0.07
"3645","smu1 suppressor, putative",18.09
"3646","PAP2 superfamily domain containing protein",46.38
"3647","hypothetical protein",8.93
"3648","hypothetical protein",7.35
"3649","hypothetical protein",14.67
"3650","exostosin family protein",0.09
"3651","hypothetical protein",8.08
"3652","tryptophan-tRNA ligase",84.14
"3653","base excision DNA repair protein, HhHGPD subfamily protein",9.38
"3654","PAS domain Sbox domain containing protein",24.63
"3655","guanine nucleotidebinding protein g(i), alpha-1 subunit",40.47
"3656","kelch repeat-containing protein",1.95
"3657","hypothetical protein",45.96
"3658","WD domain, G-beta repeat-containing protein",15.04
"3659","DEAD/DEAH box helicase domain containing protein",7.4
"3660","hypothetical protein",11.71
"3661","hypothetical protein",1609.62
"3662","Ras subfamily protein",6.09
"3663","zinc finger, c2h2 type domain containing protein",81.53
"3664","Fbox domain containing protein",8.99
"3665","hypothetical protein",34.84
"3666","cathepsin A, putative",36.02
"3667","glyoxalase I, putative",84.61
"3668","hypothetical protein",7.93
"3669","DUF1237 domain protein",24.8
"3670","helicase conserved Cterminal domain containing protein",4.46
"3671","hypothetical protein",46.1
"3672","Hypothetical protein",65.04
"3673","ATP binding protein",38.42
"3674","Tubulin/FtsZ family, GTPase domain containing protein",1.99
"3675","histone deacetylase",14.31
"3676","ADPribosylation factor subfamily protein",8.9
"3677","helicase associated domain containing protein",17.82
"3678","GTPase activating protein",59.19
"3679","zinc finger domain containing protein",26.28
"3680","glycosyltransferase",12.24
"3681","serine/threonine kinase",3.64
"3682","tRNA nucleotidyltransferase",16.33
"3683","hypothetical protein",39.64
"3684","hypothetical protein",4.81
"3685","Frizzled/Smoothened family membrane region protein",28.41
"3686","hypothetical protein",7.14
"3687","Fbox domain containing protein",4.76
"3688","RAS protein",0.01
"3689","hypothetical protein",0.03
"3690","phospholipase/carboxylesterase",17.63
"3691","hypothetical protein",32.54
"3692","epocide hydrolase domain containing protein",34.17
"3693","regulator of chromosome condensation (RCC1) repeat domain containing protein",5
"3694","hypothetical protein",0.78
"3695","hypothetical protein",7.53
"3696","endo1,3(4)-beta-glucanase, putative",0.11
"3697","RhoGEF domain containing protein",7.66
"3698","signal recognition particledocking protein",70.73
"3699","RNA polymerase subunit",121.74
"3700","serine/threonine protein kinase",54.13
"3701","ADPdependent glucokinase",15.23
"3702","hypothetical protein",7.01
"3703","hypothetical protein",1.54
"3704","amidohydrolase",20.75
"3705","PXMP2/4 family protein 3, putative",154.61
"3706","Ras subfamily protein",99.69
"3707","hypothetical protein",3.18
"3708","isoleucine-tRNA ligase",19.73
"3709","regulatory-associated protein of mTOR, putative",32.37
"3710","fungal Zn(2)-Cys(6) binuclear cluster domain containing protein",51.3
"3711","leucinerich repeat protein",6.54
"3712","hypothetical protein",3.21
"3713","splicing factor, CC1like subfamily protein",27.22
"3714","hypothetical protein",0.08
"3715","NLR family, CARD domain containing 3, putative",0.09
"3716","WD repeatcontaining protein",38.88
"3717","metal cation transporter, ZIP subfamily protein",17.95
"3718","P21Rho-binding domain containing protein",36.06
"3719","hypothetical protein",20.61
"3720","hypothetical protein",78.92
"3721","START domain containing protein",26.35
"3722","myosin IC light chain, putative",115.06
"3723","hypothetical protein",24.46
"3724","C2 domain containing protein",0.04
"3725","hypothetical protein",83.52
"3726","hypothetical protein",123.06
"3727","EF hand domain containing protein",0.13
"3728","hypothetical protein",19.32
"3729","hypothetical protein",0.14
"3730","hypothetical protein",0.01
"3731","hypothetical protein",0.46
"3732","Na+/H+ antiporter",16.11
"3733","SCPlike extracellular, putative",25.32
"3734","hypothetical protein",39.07
"3735","DHHC zinc finger domain containing protein",14.51
"3736","transporter, auxin efflux carrier family protein",25.1
"3737","acetyltransferase, GNAT superfamily protein",38.71
"3738","ADPribosylation factor subfamily protein",7.11
"3739","RhoGEF domain containing protein",20.92
"3740","enhancer of rudimentary family protein",92.15
"3741","MutS domain V domain containing protein",5.66
"3742","tetratricopeptide repeat domain containing protein",134.69
"3743","hypothetical protein",4.03
"3744","hypothetical protein",18.45
"3745","hypothetical protein",16.31
"3746","hypothetical protein",106.66
"3747","hypothetical protein",25.2
"3748","Pep3/Vps18/deep orange family protein",36.51
"3749","regulator of chromosome condensation (RCC1) repeat domain containing protein",17.77
"3750","ribosomal protein L11, domain containing protein",2813.7
"3751","Fanconi anemia complementation group D2 family protein",9.83
"3752","hypothetical protein",29.81
"3753","deoxyhypusine synthase",58.83
"3754","Ankyrin repeat containing protein",1.66
"3755","ribosomal protein L6, putative",2146.9
"3756","cell cycle control proteinrelated, putative",7.02
"3757","protein kinase domain containing protein",14.1
"3758","Sideroflexin 5, putative",19.22
"3759","hypothetical protein",61.25
"3760","plastin 3 (T isoform), putative",240.26
"3761","tyrosine-tRNA ligase",43.06
"3762","UTP23, small subunit (SSU) processome component family protein",15.19
"3763","hypothetical protein",4.83
"3764","protein kinase domain containing protein",2.19
"3765","Ankyrin repeat containing Ras association (RalGDS/AF6) domain containing protein",19.41
"3766","RNA recognition motif domain containing protein",90.13
"3767","Cytochrome c oxidase",1777.23
"3768","Fbox domain containing protein",14.22
"3769","hypothetical protein",52.14
"3770","biotin/lipoate A/B protein ligase family protein",58.15
"3771","biotin-acetyl-CoA-carboxylase ligase",0.52
"3772","cytochrome p450 superfamily protein",12.29
"3773","oxidoreductase, short chain dehydrogenase/reductase superfamily protein",11.98
"3774","hypothetical protein",4.27
"3775","transmembrane protein, putative",25.37
"3776","Fbox domain containing protein",13.31
"3777","ABC transporter, ATPbinding domain containing protein",28.32
"3778","translation factor pelota, putative",18.74
"3779","ATP binding protein",23.7
"3780","serine/threonine kinase",31.64
"3781","tRNAdihydrouridine synthase 1-like protein",36.36
"3782","ran small gtpase family protein",12.22
"3783","GTPbinding protein",4.73
"3784","hypothetical protein",16.24
"3785","phosphoethanolamine Nmethyltransferase, putative",8.44
"3786","hypothetical protein",413.36
"3787","hypothetical protein",1.73
"3788","Poly(ADPribose) polymerase catalytic domain containing protein",11.27
"3789","Dlactate dehydrogenase 2, mitochondrial precursor, putative",76.81
"3790","hypothetical protein",15.18
"3791","hypothetical protein",15.05
"3792","hypothetical protein",4.65
"3793","hypothetical protein",32.26
"3794","hypothetical protein",4.9
"3795","Fbox domain containing protein",5.22
"3796","carrier superfamily protein",22.93
"3797","mitochondrial carrier protein",18.7
"3798","Fbox domain containing protein",4
"3799","transporter, major facilitator subfamily protein",1.6
"3800","disrupted in renal carcinoma protein 2 family protein",3.94
"3801","ribosomal protein L27, putative",196.56
"3802","hypothetical protein",293.57
"3803","hypothetical protein",3.79
"3804","hypothetical protein",0.83
"3805","hypothetical protein",0.89
"3806","hypothetical protein",4.22
"3807","hypothetical protein",0.65
"3808","hypothetical protein",11.68
"3809","translation elongation factor EF1, subunit alpha, putative",0.13
"3810","small Gprotein",0.03
"3811","GTPaseactivator protein for Ras-like GTPase",2.66
"3812","hypothetical protein",18.86
"3813","Autophagyrelated protein 12, putative",5.91
"3814","Fbox domain containing protein",0.01
"3815","hypothetical protein",0.25
"3816","RhoGEF domain containing protein",0.59
"3817","hypothetical protein",39.14
"3818","hypothetical protein",3.54
"3819","Helixloop-helix DNA-binding domain containing protein",51.45
"3820","hypothetical protein",11.9
"3821","hypothetical protein",38.1
"3822","polynucleotide adenylyltransferase",24.36
"3823","transcriptional regulator, putative",13.47
"3824","transcriptional regulator, putative",20.99
"3825","hypothetical protein",0.08
"3826","polysaccharide lyase",0.02
"3827","hypothetical protein",0.46
"3828","hypothetical protein",5.4
"3829","bucentaur or craniofacial development domain containing protein",22.44
"3830","hypothetical protein",0.01
"3831","DnaK family protein",196.25
"3832","glycosylase",11.29
"3833","NADH oxidoreductase (quinone), F subunit",205.59
"3834","hypothetical protein",0.68
"3835","cystatin, putative",746.43
"3836","RhoGEF domain containing protein",14.51
"3837","zinc finger, c2h2 type domain containing protein",8.66
"3838","hypothetical protein",276.27
"3839","Ras subfamily protein",29.47
"3840","ubiquinone/menaquinone biosynthesis methyltransferase",56.19
"3841","hypothetical protein",15.64
"3842","GTPbinding nuclear protein Ran, putative",179.11
"3843","GntR family transcriptional regulator, putative",6.8
"3844","RhoGAP domain containing protein",18.96
"3845","hypothetical protein",0.69
"3846","PH domain containing protein",0.03
"3847","dual specificity phosphatase, catalytic domain containing protein",11.12
"3848","RhoGEF domain containing protein",11.76
"3849","hypothetical protein",9.45
"3850","cytochrome p450 superfamily protein",0
"3851","hypothetical protein",10.85
"3852","cytochrome p450 superfamily protein",2.75
"3853","hypothetical protein",0.01
"3854","pentatricopeptide repeat domain containing protein",16.18
"3855","leucine rich repeat domaincont",3.51
"3856","coproporphyrinogen III oxidase",6.08
"3857","RhoGAP domain containing protein",8.77
"3858","universal stress protein (UspA)",31.99
"3859","CUE domain containing protein",252.25
"3860","hypothetical protein",6.8
"3861","GATA zinc finger domain containing protein",103.59
"3862","Ras GTPase activation domain containing protein",19.89
"3863","hypothetical protein",0.13
"3864","polyubiquitin, putative",82.8
"3865","helicase conserved Cterminal domain containing protein",3.43
"3866","aldo/keto reductase",15.06
"3867","serine/threonine kinase",1.72
"3868","hypothetical protein",13.2
"3869","kinesin motor domain containing protein",11.23
"3870","hypothetical protein",0.98
"3871","FYVE zinc finger domain containing protein",8.7
"3872","coenzyme Q10, putative",24.94
"3873","hypothetical protein",65.16
"3874","3-oxo-5-alpha-steroid 4-dehydrogenase",41.18
"3875","NIF3 (NGG1p interacting factor 3) domain containing protein",29.57
"3876","NIF3 family protein",38.19
"3877","UBA/TSN domain containing protein",8.01
"3878","hypothetical protein",17.99
"3879","inosineuridine nucleoside N-ribohydrolase",54.04
"3880","hypothetical protein",58.85
"3881","FKBP12rapamycin complex-associated protein",27.6
"3882","hypothetical protein",48.83
"3883","RNA recognition motif domain containing protein",106.21
"3884","unspecified product",5.35
"3885","NADH cytochrome b reductase, putative",1128.12
"3886","serine/threonine protein kinase",546.07
"3887","Peroxisomal biogenesis factor 1, putative",7.38
"3888","ribosomal family s4e, putative",2557.87
"3889","hypothetical protein",0.34
"3890","DNA polymerase epsilon subunit B protein",6.33
"3891","carrier superfamily protein",28.47
"3892","hypothetical protein",5.52
"3893","DNL zinc finger protein",27
"3894","hypothetical protein",16.03
"3895","acetyltransferase, GNAT superfamily protein",5.7
"3896","hypothetical protein",16.95
"3897","transloconassociated protein, putative",165.07
"3898","alkaline phosphatase D, putative",14.05
"3899","tRNA nucleotidyltransferase/poly(A) polymerase",4.7
"3900","DHHA1 domain containing protein",3.05
"3901","serine/threonine kinase",2.15
"3902","hypothetical protein",4.11
"3903","hypothetical protein",192.34
"3904","LSM domain containing protein",72.11
"3905","hypothetical protein",22.65
"3906","phospholipase A2, group IVB, putative",10.75
"3907","MIF4G domain containing protein",1.38
"3908","hypothetical protein",14.02
"3909","UBX domain containing protein",1.8
"3910","Double-stranded DNA-binding domain containing protein",52.25
"3911","hypothetical protein",83.12
"3912","Fbox domain containing protein",5.03
"3913","serine/threonine kinase",2.09
"3914","serine/threonine protein kinase",19.04
"3915","hypothetical protein",209.08
"3916","hypothetical protein",48.74
"3917","serine/threonine kinase",6.07
"3918","hypothetical protein",0.05
"3919","FADdependent oxidoreductase",0.07
"3920","FADdependent oxidoreductase",0.17
"3921","hypothetical protein",27.86
"3922","DIL domain containing protein",8.68
"3923","RINGfinger protein",4.6
"3924","Ras subfamily protein",0.01
"3925","hypothetical protein",40.77
"3926","phosphatidylinositol glycan",12.83
"3927","betaphosphoglucomutase family hydrolase",38.12
"3928","glucosyl hydrolase family protein",70.82
"3929","NADbinding domain 4 domain containing protein",1.93
"3930","acylCoA binding protein, putative",18.81
"3931","hypothetical protein",19.18
"3932","tRNAdihydrouridine synthase A, putative",11.91
"3933","hypothetical protein",20.45
"3934","hypothetical protein",11.21
"3935","hypothetical protein",61.61
"3936","putative secreted protein",36.39
"3937","serine/threonine kinase",0.46
"3938","hypothetical protein",166.49
"3939","serine/threonine kinase",4.13
"3940","inosineuridine preferring nucleoside hydrolase family protein",1.55
"3941","proline racemase",27.5
"3942","Protein of unknown function (DUF1253) containing protein",12.74
"3943","hypothetical protein",26.7
"3944","amine oxidase, flavincontaining superfamily protein",143.89
"3945","peroxidase",797.36
"3946","hypothetical protein",1.18
"3947","hypothetical protein",27.86
"3948","rhodaneselike domain containing protein",23.81
"3949","Fbox domain containing protein",7.57
"3950","hypothetical protein",64.4
"3951","leucinerich repeat kinase",22
"3952","hypothetical protein",14.19
"3953","acetyltransferase",102.93
"3954","Ankyrin repeat and PH domain containing GTP-ase activating protein",1.78
"3955","CRAL/TRIO domain containing protein",9.11
"3956","hypothetical protein",1.24
"3957","hypothetical protein",143.01
"3958","protein phosphatase 2C domain containing protein",7.23
"3959","PH domain containing protein",0.67
"3960","CRAL/TRIO domain containing protein",27.56
"3961","hypothetical protein",22.86
"3962","hypothetical protein",0.52
"3963","hypothetical protein",5.71
"3964","ribonuclease II",18.6
"3965","hypothetical protein",1.2
"3966","zincbinding alcohol dehydrogenase family protein",110.82
"3967","LIM domain containing protein",6.83
"3968","serine/threonine kinase",1.73
"3969","NADdependent protein deacetylase, SIR2 family",3.82
"3970","ribosomal protein L33, putative",166.65
"3971","methionine-tRNA ligase",55.32
